rank_by_bonded_stake,delegator_address,bonded_amount_l1,active_validator_count,all_validator_count
1,genesis16aypymlama0lk5s8c9s30s09eacpvwna6v7gqt,923996.345753,22,26
2,genesis1uxx7lczky6nc2tcuw26wsekns8akrkfyh90tra,892810.503328,16,18
3,genesis1ag940t2gd4sn0wey7xgfjl83x2t5v62mvgdrnl,850116.040078,31,45
4,genesis1nmx6m0ax89t3lgl3xmyjmt6nxjdq4kxff8al5w,696420.445611,4,8
5,genesis14rj9dl3l28t5lhumevlkheddygjvtxck3mpfq6,667415.000000,4,4
6,genesis10yu8w9p4p0szf2xwhtndmfjnp0gfk4j7yr6ylu,593870.348457,10,18
7,genesis1qf0nkx5f3vz66fe3he4twf58kkfqcj3lqjrpt3,582936.417649,1,1
8,genesis1wwxpj2wxnd63h597pwtzmxavyzmrr2kx0xhph5,566694.198121,1,1
9,genesis13k072z6ua8258533glfrrsep4ff6f4j5yr3hnl,558709.906142,8,8
10,genesis1hvh3cl9n58h04sj0efevccn3vt25z07h70j2hm,550450.000000,2,3
11,genesis1vc0e9lze2qpqc745zz6ltwdr7s5lfxh9yetntg,524538.360853,1,1
12,genesis1macfmy56a9t3s2xane75x47nappkhd9jqz0hsk,508630.000000,4,4
13,genesis1h4lx8cm0vnrrahjjfgsjp79jjnyspy6w7ehrxd,508567.913286,3,4
14,genesis12jfvctjm2jjj0xflzjyrj0gc5umqjq8jmd4qgj,465821.696851,5,7
15,genesis1r4vvqh77dpr6egfdp2r0lmjexyv32lgcz7rzt7,463916.433068,7,8
16,genesis1tlan9udzf8ud5xjgcyl7w293yjmnkz5m7l4c72,461382.738897,13,15
17,genesis1ya0tdq9y5v7nmhk4jnh4j5ny2ls7gayamkdr5y,416433.906455,1,7
18,genesis1v2z9rwxt5y98pnrs6ryhqp08ay5azzvmchdgpu,410261.443281,7,23
19,genesis1f0su7dw6zjhf9924rqlmxx7eecuzwr9wnja000,407097.148897,6,10
20,genesis1s8elzc7pltmwf3xfcdph44c09dvq7gsjljwrx6,404611.895858,10,24
21,genesis1s6mdag35z5jn0xepmshunyp4dzg9mu3vprdj6f,366600.000000,1,1
22,genesis10pnjdnkpzqj4txk64f9w8yxc6lyjsu39qf7kul,365040.000000,13,13
23,genesis1p6scnv358fry74stgsgr763njmdpm29fgnp4ht,358064.000000,2,5
24,genesis137w7fhrw00rkas7mq0zxg9fzgr7l6tvxnp3yv3,337550.000000,1,1
25,genesis1aqufy4yw3rqf36swk8td4dkve7pe45nmnkgx7x,335435.339103,3,3
