draw_order,token_id,pdb_id
1,101792,4O1H
2,79376,3T0F
3,63164,3F13
4,33940,2CZO
5,218156,8QRU
6,19361,1QHX
7,72099,3MX2
8,173741,6ZJE
9,198098,7VPI
10,35895,2EOJ
11,75718,3PXL
12,95686,4IX0
13,60294,3CNB
14,1209,1AUN
15,133402,5RGU
16,170697,6X1H
17,144637,6B8S
18,223302,8VN0
19,226889,9BB8
20,38009,2GJ7
21,221086,8TK2
22,33282,2CFG
23,63585,3FE1
24,197781,7VFJ
25,1326,1AY8
26,76526,3QMH
27,55860,2YX5
28,123308,5J5F
29,48017,2PFZ
30,68681,3K25
31,119830,5FYQ
32,67599,3IP4
33,136684,5UBU
34,34799,2DR0
35,135729,5TJ4
36,175630,7B2Z
37,159196,6NK4
38,42348,2KFU
39,195199,7TA6
40,44177,2LZ6
41,174149,6ZV4
42,27487,1XKX
43,8555,1H45
44,189160,7OBW
45,212214,8HOH
46,128664,5NL7
47,210546,8G6U
48,73021,3NON
49,52050,2VP7
50,189313,7OG8
51,207844,8DYW
52,52890,2WE2
53,1845,1BE4
54,193535,7RWR
55,80215,3TP7
56,163918,6RGV
57,216303,8P5L
58,44228,2M0U
59,151702,6H2T
60,154797,6JPN
61,43722,2LLA
62,167257,6U6Y
63,220800,8TBA
64,108859,4WC4
65,109396,4WTD
66,80726,3U4H
67,174635,7A95
68,163394,6R1F
69,17845,1P5L
70,120560,5GTY
71,124713,5KCS
72,13510,1LDN
73,191069,7PVV
74,8905,1HEM
75,28190,1Y6B
76,87652,4C6X
77,75752,3PYJ
78,166424,6TIJ
79,113036,4ZV7
80,130005,5OOW
81,203760,8AKH
82,220073,8SOY
83,226804,9B6H
84,43718,2LL6
85,122402,5IEF
86,137053,5UMO
87,192262,7QUK
88,141225,5Y88
89,104641,4QGF
90,162649,6QFB
91,10467,1IS4
92,143233,6A1M
93,181454,7G1P
94,136007,5TRP
95,25786,1W5B
96,175547,7B0M
97,165339,6SMW
98,27437,1XJH
99,5790,1ESU
100,205240,8BTG
