delegator_address,validator_operator_address,validator_moniker,validator_status,validator_jailed,balance_atomic,balance_l1,shares
genesis14rj9dl3l28t5lhumevlkheddygjvtxck3mpfq6,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,665111000000000000000002,665111.000000,665377110446672319749090.993421076260620467
genesis16xlt8s65mzlsv2xehx5x3jx7nleanj9f4n250c,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,256914999999999999999999,256915.000000,257017791512103722579144.003328264546556870
genesis15ua6k8dtusen4zzdqvuna2sscw6zz4y5hahjw0,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,201636325446985446744497,201636.325447,201717000000000000000000.000000000000000000
genesis1yw05d4nk9kjm0vggjjwz73vq7gwv6l3yw6lh2f,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,136985999999999999999999,136986.000000,137040808002946657615267.697343254142489051
genesis1nq2qm9cdjhqqdune0mn3ldwmza9ej3zcjz55mp,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,74694999999999999999999,74695.000000,74724885417342652465013.638891067573103926
genesis1ag940t2gd4sn0wey7xgfjl83x2t5v62mvgdrnl,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,45155989519489370369986,45155.989519,45174056399365003017145.823452725188868699
genesis10s986eprw3f89mdf3plvrku2t5p65u5cfqxafh,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,38750000000000000000000,38750.000000,38765503847942001245321.872582270786528929
genesis186s6d2y88whr9jjzxu62y8en2x53sh9deenfl3,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,24995000001645680295990,24995.000002,25005000483693056696090.472387080530224318
genesis1s8elzc7pltmwf3xfcdph44c09dvq7gsjljwrx6,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,20583900366511059889899,20583.900367,20592135970674561597646.289858330489105017
genesis1s0mcdnsp74relctt3nyfyx4zkuwfn5wfl45cr6,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,20000000112442213407379,20000.000112,20008002098521782746356.457581158184989852
genesis1px5hrplm5talh55j79gc6wsazeu05vgmf3rkkx,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,13050835404134205347000,13050.835404,13056057034266380394492.922344930992363602
genesis1hsy80krl6yq529ut3chdq8v7hms5agyjj5x207,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,11340000000000000000000,11340.000000,11344537126081607590243.871873108405657756
genesis10ue05mak7nmegh74j2g002u8p8zmtexypflk4y,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,8956000000000001073997,8956.000000,8959583289346286575152.783323640157695586
genesis10cxgzds6gjnm2d7qfydgsm0nvg0xzg6ut32lpj,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,6680000000000001073998,6680.000000,6682672663335551224589.055520564608569685
genesis1gtj4dhkcdl6ewah3euq8q4crh34gehyq69l57c,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,3590237974630326110997,3590.237975,3591674426337016874885.896134406209539270
genesis1g6zstj3qxu463chcgy878v9jh66culnvskqfm6,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,3565396043162751963073,3565.396043,3566822555630008949274.137804927781791718
genesis1vl5wavf953q0wxd83kvrc65c6vaujhdeqst2kp,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,2873486650799999999999,2873.486651,2874636330802512867897.593572507232729957
genesis1m5t4lhp9v8e6srtd267duzg03jj8m40s5vnqyf,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,Calcium by Faust,BOND_STATUS_BONDED,false,179000000000000000000,179.000000,179071617775009502526.777166251005697771
