rank_by_bonded_stake,delegator_address,bonded_amount_atomic,bonded_amount_l1,nonbonded_amount_atomic,nonbonded_amount_l1,total_amount_atomic,total_amount_l1,active_validator_count,all_validator_count
1,genesis16aypymlama0lk5s8c9s30s09eacpvwna6v7gqt,1423862345752754872665226,1423862.345753,9635294480090866,0.009635,1423862355388049352756092,1423862.355388,19,23
2,genesis1uxx7lczky6nc2tcuw26wsekns8akrkfyh90tra,877492557082050606107172,877492.557082,0,0.000000,877492557082050606107172,877492.557082,10,12
3,genesis1ag940t2gd4sn0wey7xgfjl83x2t5v62mvgdrnl,850116140078312587071609,850116.140078,14604264358102081,0.014604,850116154682576945173690,850116.154683,27,40
4,genesis1nmx6m0ax89t3lgl3xmyjmt6nxjdq4kxff8al5w,696420445611201366241564,696420.445611,1879488889308265664,1.879489,696422325100090674507228,696422.325100,2,6
5,genesis14rj9dl3l28t5lhumevlkheddygjvtxck3mpfq6,667415000000000000000002,667415.000000,0,0.000000,667415000000000000000002,667415.000000,4,4
6,genesis1r4vvqh77dpr6egfdp2r0lmjexyv32lgcz7rzt7,664540433067506898840051,664540.433068,17566340846624918,0.017566,664540450633847745464969,664540.450634,6,7
7,genesis10yu8w9p4p0szf2xwhtndmfjnp0gfk4j7yr6ylu,593870348457191158767293,593870.348457,4738841812369011129,4.738842,593875087299003527778422,593875.087299,10,18
8,genesis1qf0nkx5f3vz66fe3he4twf58kkfqcj3lqjrpt3,582936417649445664403273,582936.417649,0,0.000000,582936417649445664403273,582936.417649,1,1
9,genesis1wwxpj2wxnd63h597pwtzmxavyzmrr2kx0xhph5,566694198120682463595845,566694.198121,0,0.000000,566694198120682463595845,566694.198121,1,1
10,genesis13k072z6ua8258533glfrrsep4ff6f4j5yr3hnl,558709906142439591284135,558709.906142,0,0.000000,558709906142439591284135,558709.906142,6,6
11,genesis1hvh3cl9n58h04sj0efevccn3vt25z07h70j2hm,550450000000000000000002,550450.000000,10760954628111222378,10.760955,550460760954628111222380,550460.760955,1,2
12,genesis1vc0e9lze2qpqc745zz6ltwdr7s5lfxh9yetntg,524538360852517526034116,524538.360853,0,0.000000,524538360852517526034116,524538.360853,1,1
13,genesis1macfmy56a9t3s2xane75x47nappkhd9jqz0hsk,500000000000000000000001,500000.000000,0,0.000000,500000000000000000000001,500000.000000,2,2
14,genesis1h4lx8cm0vnrrahjjfgsjp79jjnyspy6w7ehrxd,498044455077021353653740,498044.455077,198613,0.000000,498044455077021353852353,498044.455077,2,3
15,genesis12jfvctjm2jjj0xflzjyrj0gc5umqjq8jmd4qgj,465821696851282660469181,465821.696851,523707112134118297,0.523707,465822220558394794587478,465822.220558,4,6
16,genesis1tlan9udzf8ud5xjgcyl7w293yjmnkz5m7l4c72,452451096470857111054317,452451.096471,0,0.000000,452451096470857111054317,452451.096471,11,13
17,genesis1ya0tdq9y5v7nmhk4jnh4j5ny2ls7gayamkdr5y,416433906455002823168962,416433.906455,6669744632683577,0.006670,416433913124747455852539,416433.913125,1,7
18,genesis1v2z9rwxt5y98pnrs6ryhqp08ay5azzvmchdgpu,410261443281095437251241,410261.443281,12758719252181177278,12.758719,410274202000347618428519,410274.202000,6,22
19,genesis1f0su7dw6zjhf9924rqlmxx7eecuzwr9wnja000,407097148897021860756160,407097.148897,1262518758641062427,1.262519,407098411415780501818587,407098.411416,4,8
20,genesis1s8elzc7pltmwf3xfcdph44c09dvq7gsjljwrx6,404611895857715326413194,404611.895858,115171815964094810677572,115171.815964,519783711821810137090766,519783.711822,10,24
21,genesis1s6mdag35z5jn0xepmshunyp4dzg9mu3vprdj6f,366600000000000000000000,366600.000000,0,0.000000,366600000000000000000000,366600.000000,1,1
22,genesis1p6scnv358fry74stgsgr763njmdpm29fgnp4ht,358064000000000000000000,358064.000000,1700749046974654849,1.700749,358065700749046974654849,358065.700749,2,5
23,genesis137w7fhrw00rkas7mq0zxg9fzgr7l6tvxnp3yv3,337550000000000000000000,337550.000000,0,0.000000,337550000000000000000000,337550.000000,1,1
24,genesis1aqufy4yw3rqf36swk8td4dkve7pe45nmnkgx7x,335435339103142909907906,335435.339103,0,0.000000,335435339103142909907906,335435.339103,2,2
25,genesis1nhqrnhc6eyuvrzxekg8xtywjsapfgdalw5gegw,309052577800685940105527,309052.577801,3260923706023096940,3.260924,309055838724391963202467,309055.838724,2,14
26,genesis16yykp72kv3k73djdxkvfsny3ct2670tm7h5hjv,304178517195947342630568,304178.517196,0,0.000000,304178517195947342630568,304178.517196,1,1
27,genesis1gtj4dhkcdl6ewah3euq8q4crh34gehyq69l57c,301179314114145357106668,301179.314114,49441335174123320,0.049441,301179363555480531229988,301179.363555,8,12
28,genesis1nqqxn2txk7kwcx0dhxfn57unnz2cv9aemfpar7,292966496906637263573295,292966.496907,601071707796812771,0.601072,292967097978345060386066,292967.097978,3,5
29,genesis1nzgxusarw7tn3w9pz9mtxplwu8jnwrhl7yx85t,292380521695698153587944,292380.521696,0,0.000000,292380521695698153587944,292380.521696,12,23
30,genesis1ttq46r8wd243pz4wqn28at4xyx2cdglcxuezvl,290736519001911173968017,290736.519002,11226751074264881408,11.226751,290747745752985438849425,290747.745753,3,7
31,genesis1qm8t0qwde65v6cyd727xxrj3sa3dm647uyxg7a,289915000000000000000000,289915.000000,0,0.000000,289915000000000000000000,289915.000000,1,1
32,genesis106u67v85lvc3yuh75dlpnzsyxt38ejkygvu4zt,275063000000000000000000,275063.000000,0,0.000000,275063000000000000000000,275063.000000,1,1
33,genesis1h8sxdlvsgesda44ejk5rggmzpsy950vkl2jn66,273492460769332259640135,273492.460769,374844235229647647,0.374844,273492835613567489287782,273492.835614,2,5
34,genesis1yw05d4nk9kjm0vggjjwz73vq7gwv6l3yw6lh2f,270959501391645171502464,270959.501392,0,0.000000,270959501391645171502464,270959.501392,3,3
35,genesis1yrhr3htv77uzhmvr36vmtrcryywxyalg009l6j,260000000000000000000002,260000.000000,0,0.000000,260000000000000000000002,260000.000000,1,1
36,genesis16xlt8s65mzlsv2xehx5x3jx7nleanj9f4n250c,256915006801535693412782,256915.006802,1210367390835996123,1.210367,256916217168926529408905,256916.217169,2,4
37,genesis1g6zstj3qxu463chcgy878v9jh66culnvskqfm6,256258657991434482017911,256258.657991,7176687328750393209,7.176687,256265834678763232411120,256265.834679,18,39
38,genesis1hgp002gnpvas3jz0xawh8ek39nghjycxk6qd47,247170609812035756710488,247170.609812,2306921541816760310,2.306922,247172916733577573470798,247172.916734,6,13
39,genesis10s986eprw3f89mdf3plvrku2t5p65u5cfqxafh,242669000000319999999999,242669.000000,9135384944,0.000000,242669000000329135384943,242669.000000,7,8
40,genesis1vl5wavf953q0wxd83kvrc65c6vaujhdeqst2kp,238753486650799999999996,238753.486651,64053380763,0.000000,238753486650864053380759,238753.486651,6,7
41,genesis182lpnqqq0umc07hut7xp7j23k32ss3panncd5g,235000891568316675340081,235000.891568,9692031701641624,0.009692,235000901260348376981705,235000.901260,6,11
