draw_order,token_id,pdb_id,outcome,reason_code,reason_detail,reconstructed_bytes,canonical_bytes,reconstructed_sha256,canonical_sha256,byte_identical,reconstructed_atom_count,canonical_atom_count,atom_count_equal,reconstructed_chain_ids,canonical_chain_ids,chain_ids_equal,reconstructed_entity_ids,canonical_entity_ids,entity_ids_equal,atom_keys_equal,reconstructed_coordinate_sha256,canonical_coordinate_sha256,coordinate_hash_equal,max_coordinate_deviation_angstrom,coordinate_tolerance_angstrom,coordinate_agreement,fidelity_pass
1,101792,4O1H,SUCCESS,SUCCESS,,443668,536843,876b7b35de7a6ccbb4dfdaa8ef16f6b29cc92092de196f5d691a99d5152f8e73,cd66fd61357351dcf8e8998e78e440248fda03d9df95d9d43e17c43c57bd7df8,False,3391,3391,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,5871299d13d8048dcf11f6b2130970df91413ef9c93b07622213e9dd7a3072d2,5871299d13d8048dcf11f6b2130970df91413ef9c93b07622213e9dd7a3072d2,True,0,1e-06,True,True
2,79376,3T0F,SUCCESS,SUCCESS,,578509,730232,01eed97934ae0b565a889a442dbfe6e045e09d45e639cfa1aa3eb5ab1de7bad3,5c8e943c687cd6f888b6b2cb3b95ad298bc1a21f6cfa657a9bc018fc56753bba,False,4995,4995,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,af80f6fea5a0bbe9a618e47521b7a8e1e77f51222db0192ffff3cfb6bbe2efb1,af80f6fea5a0bbe9a618e47521b7a8e1e77f51222db0192ffff3cfb6bbe2efb1,True,0,1e-06,True,True
3,63164,3F13,SUCCESS,SUCCESS,,207908,277123,44941c6bb220cfd2210babd3e8c31be386dfb2e6fc19fea7f8c9ad4f4263161e,9c63a1854209d33a122422d0050ae0f78b7552e7bf84ced203a043a5888b8cf4,False,2432,2432,True,"[""A"",""B"",""C"",""D""]","[""A"",""B"",""C"",""D""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,bdcc070aececacd0399f684288144179cd194ed82ebd7efeebcb61e1e6b8b733,bdcc070aececacd0399f684288144179cd194ed82ebd7efeebcb61e1e6b8b733,True,0,1e-06,True,True
4,33940,2CZO,SUCCESS,SUCCESS,,595456,1975438,760c33d8747cad14231644078ccbdd1b025e85c82366cc40cfde8404ec7bb26b,833add4d7b1bdc590aec080da768a0eb1d28b142197fbe110446f739c2b84c3e,False,42140,42140,True,"[""A""]","[""A""]",True,"[""1""]","[""1""]",True,True,615104d435e34a0f417f9547f95bdb31793c385e141f45c6127d312a8f06951e,615104d435e34a0f417f9547f95bdb31793c385e141f45c6127d312a8f06951e,True,0,1e-06,True,True
5,218156,8QRU,SUCCESS,SUCCESS,,240804,341292,391d1c0ca32067c21f22fe2127fe825c83ddc39027a34c1ffce1e02996a78dbd,bf4bfa660369e5ec8fdc26fac876826879fadbf3365346c29c67bdf4705bd449,False,3093,3093,True,"[""A"",""B""]","[""A"",""B""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,b5280b25a01b6c6ae44ee40630c7b1dfc7140d4f3da1c45a4bddd301fd06ec57,b5280b25a01b6c6ae44ee40630c7b1dfc7140d4f3da1c45a4bddd301fd06ec57,True,0,1e-06,True,True
6,19361,1QHX,SUCCESS,SUCCESS,,208735,241526,5f70e754a5f6d4be13ebe24c60c09f531940b025cc4495563ab8bde00363d3f4,73c0ce61a3455babe5617e0e0cd93658820573fd5c4b8bac4c8ffb1d7138bfa5,False,1452,1452,True,"[""A"",""B"",""C"",""D""]","[""A"",""B"",""C"",""D""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,4caa3fa66e556fc3b42bff5be1b285d3b9ec3e9060d6f5d7e6bb1e29ef28e33f,4caa3fa66e556fc3b42bff5be1b285d3b9ec3e9060d6f5d7e6bb1e29ef28e33f,True,0,1e-06,True,True
7,72099,3MX2,SUCCESS,SUCCESS,,1071452,1482104,e539c5a7b88ad5783d23a69ce892aacd0105933bbb531670ea5c501c71dea19e,3546895c652fbb3ded009b2d798863af259608f9878b34533b7b07fa1a54a69e,False,12638,12638,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,80f9ba7ce9e522d5aec733218e66a95bcc33368fc3e23782d74e23f632af62d7,80f9ba7ce9e522d5aec733218e66a95bcc33368fc3e23782d74e23f632af62d7,True,0,1e-06,True,True
8,173741,6ZJE,SUCCESS,SUCCESS,,418726,457287,9379464a4d789107dc3ffbbc9a08bc6dae9233f9d4d0600231587a94062d883c,ce74cffc6f30d6ce27b6f62df410c8bd8174ccbf05a0662b329cdd37fda1a49b,False,2299,2299,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G""]",True,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""1"",""2"",""3"",""4"",""5"",""6""]",True,True,ebd3312c795ded15aa3812eb5f68b602614944792dff0c0aaf4cb90279442df0,ebd3312c795ded15aa3812eb5f68b602614944792dff0c0aaf4cb90279442df0,True,0,1e-06,True,True
9,198098,7VPI,SUCCESS,SUCCESS,,363198,582752,8f9ffa2710817446442a5f0228b25ac038eeadcdb7e79b5baf02eb987f6716b5,bbc3593c1438acf359c35e4f5233409ff39c538716da04659b0f71021be81689,False,7375,7375,True,"[""A"",""B"",""C""]","[""A"",""B"",""C""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,e79eb41a70afbcb55f80ed6371eae9b8b53a53133fb66c1cc22b900b481dfb29,e79eb41a70afbcb55f80ed6371eae9b8b53a53133fb66c1cc22b900b481dfb29,True,0,1e-06,True,True
10,35895,2EOJ,SUCCESS,SUCCESS,,251564,662782,69c94473be54feac769c12bc71598f6045ce59d549ca9948e3423562980c9adf,1b0b0be74bd645cdf1d104969030f00658c628f7e985882d464a9c7e15bba3a5,False,11820,11820,True,"[""A"",""B""]","[""A"",""B""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,b1cf5812fff040700870a653de457f7e828a61156b3f93c390eb143bdf45720d,b1cf5812fff040700870a653de457f7e828a61156b3f93c390eb143bdf45720d,True,0,1e-06,True,True
